Ticker,Company Name,Market Cap,Orbit Company Id
NVDA,NVIDIA Corporation,"3,574.09B",tXmne0RQQbUtj8yn
AAPL,Apple Inc.,"3,461.52B",tXmne0RQQbPNNzot
MSFT,Microsoft Corporation,"3,089.12B",tXmne0RQQbPP3gaO
GOOG,Alphabet Inc.,"2,243.94B",tXmoG2W2gFCNL8WE
GOOGL,Alphabet Inc.,"2,208.55B",tXmoG2W2gFCNL8WE
AMZN,"Amazon.com, Inc.","2,133.29B",tXmne0RQQbPNNitI
META,"Meta Platforms, Inc.","1,427.65B",tXmne0RTnR3WGsBf
TSLA,"Tesla, Inc.","1,097.94B",tXmne0RTnfgXG4Ee
BRK.B,Berkshire Hathaway Inc.,"1,011.02B",tXmne0RQQbPRcKOY
AVGO,Broadcom Inc.,762.47B,tXmoG3c0kCb2Yt6R
WMT,Walmart Inc.,700.77B,tXmne0RQQbPNMKnI
LLY,Eli Lilly and Company,678.39B,tXmne0RQQbPMETqq
JPM,JPMorgan Chase & Co.,677.88B,tXmoG2G39BtX5aqP
V,Visa Inc.,602.40B,tXmne0RUFagBQzOf
UNH,UnitedHealth Group Incorporated,552.63B,tXmoG22t0bXvqEhx
XOM,Exxon Mobil Corporation,528.82B,tXmne0RQQbUq2wuX
ORCL,Oracle Corporation,528.58B,tXmne0RQQbPP35r7
MA,Mastercard Incorporated,470.43B,tXmne0RQQbPKonu0
COST,Costco Wholesale Corporation,411.21B,tXmne0RQQbUq4Jh5
PG,The Procter & Gamble Company,402.45B,tXmne0RQQbPLvW0x
HD,"The Home Depot, Inc.",397.35B,tXmne0RQQbPLvFXw
NFLX,"Netflix, Inc.",377.81B,tXmne0RQQbPKnhvo
JNJ,Johnson & Johnson,368.63B,tXmne0RQQbPMECzJ
BAC,Bank of America Corporation,353.41B,tXms64W1bZ1kN5Ir
CRM,"Salesforce, Inc.",311.37B,tXmne0RQQbUus5m3
ABBV,AbbVie Inc.,296.46B,tXmoG2Xbhxht6L9z
CVX,Chevron Corporation,289.92B,tXmne0RQQbPLxkfE
TMUS,"T-Mobile US, Inc.",273.26B,tXmne0RQQbPH6uFg
KO,The Coca-Cola Company,271.35B,tXmne0RQQbPLvpe1
MRK,"Merck & Co., Inc.",246.49B,tXmne0RQQbPMFapn
WFC,Wells Fargo & Company,244.98B,tXms64W1bZ1kNxSP
CSCO,"Cisco Systems, Inc.",229.01B,tXmoG3nElMdOJYIP
BX,Blackstone Inc.,226.03B,tXmne0RQQbPKoVsU
AMD,"Advanced Micro Devices, Inc.",223.30B,tXmne0RQQbPLvXlb
ACN,Accenture plc,223.12B,tXmne0RQQbPLvoH5
ADBE,Adobe Inc.,219.88B,tXmne0RQQbPNNh4T
PEP,"PepsiCo, Inc.",217.79B,tXmne0RQQbPMFIzA
LIN,Linde plc,214.34B,tXmoG3nIf3XvWWcn
MS,Morgan Stanley,212.16B,tXmne0RQQbPMFaJ1
NOW,"ServiceNow, Inc.",211.06B,tXmoG2G4ax0ITGWB
MCD,McDonald's Corporation,208.47B,tXmne0RQQbPMETXx
DIS,The Walt Disney Company,206.92B,tXmoG3c5ujLdCON3
PM,Philip Morris International Inc.,202.73B,tXmne0RUFagBQzOe
AXP,American Express Company,202.68B,tXmne0RQQbPLwdVl
ABT,Abbott Laboratories,201.08B,tXmne0RQQbPLvW8L
IBM,International Business Machines Corporation,198.43B,tXmne0RQQbPMECjj
TMO,Thermo Fisher Scientific Inc.,196.16B,tXmne0RQQbPNMb5g
ISRG,"Intuitive Surgical, Inc.",192.99B,tXmne0RQQbUsc7pA
GE,General Electric Company,192.63B,tXmne0RQQbPLvFPg
GS,"The Goldman Sachs Group, Inc.",191.58B,tXmne0RQQbUpWkDv
CAT,Caterpillar Inc.,184.19B,tXmne0RQQbPLw3o4
INTU,Intuit Inc.,182.36B,tXmne0RQQbPOWMZG
TXN,Texas Instruments Incorporated,180.79B,tXmne0RQQbPNMb5b
VZ,Verizon Communications Inc.,177.73B,tXmne0RQQbUpWkHG
QCOM,QUALCOMM Incorporated,171.39B,tXmne0RQQbPP4T4c
DHR,Danaher Corporation,168.36B,tXmne0RQQbPLxBex
BKNG,Booking Holdings Inc.,166.03B,tXmne0RQQbUtkqcC
CMCSA,Comcast Corporation,164.50B,tXmne0RQQbPRcKXf
T,AT&T Inc.,163.81B,tXmne0RQQbPMFZS3
BLK,"BlackRock, Inc.",158.70B,tXmne0RQQbPH8G7w
RTX,RTX Corporation,158.59B,tXmne0RQQbPNMtgq
NEE,"NextEra Energy, Inc.",158.10B,tXmne0RQQbPLxSpR
SPGI,S&P Global Inc.,155.95B,tXmne0RQQbPMETXt
AMGN,Amgen Inc.,154.74B,tXmne0RQQbPNNy71
PGR,The Progressive Corporation,150.57B,tXmne0RQQbPMFIUf
LOW,"Lowe's Companies, Inc.",148.61B,tXmne0RQQbPMETyE
HON,Honeywell International Inc.,147.39B,tXmne0RQQbUq2wHp
SCHW,The Charles Schwab Corporation,147.29B,tXms64W1bZ1kN5Aa
SYK,Stryker Corporation,147.03B,tXmne0RQQbPMGhcE
UBER,"Uber Technologies, Inc.",146.56B,tXmoG2XbgU1hwYdv
ETN,Eaton Corporation plc,142.45B,tXmoG2XbhxmhAokY
UNP,Union Pacific Corporation,141.60B,tXmne0RQQbPNMs8b
PLTR,Palantir Technologies Inc.,141.51B,tXmne0RQQchZdkfF
PFE,Pfizer Inc.,141.33B,tXmne0RQQbPMFIDC
AMAT,"Applied Materials, Inc.",140.55B,tXmne0RQQbPNNzsB
KKR,KKR & Co. Inc.,135.17B,tXmne0RTo7pVc30e
TJX,"The TJX Companies, Inc.",135.05B,tXmne0RQQbPNMbOL
BSX,Boston Scientific Corporation,132.90B,tXmne0RQQbPLwMp8
COP,ConocoPhillips,130.55B,tXmne0RQQbPLvoYv
C,Citigroup Inc.,130.26B,tXms64W1bZ1kN5z8
PANW,"Palo Alto Networks, Inc.",128.57B,tXmne0RR5i8KLyOo
LMT,Lockheed Martin Corporation,126.75B,tXmoG2G39BMRNn1Y
FI,"Fiserv, Inc.",123.99B,tXmne0RQQbPOVXrV
ADP,"Automatic Data Processing, Inc.",121.66B,tXmne0RQQbPLwLXc
ANET,"Arista Networks, Inc.",120.22B,tXmoG22oQaJoJeB0
BMY,Bristol-Myers Squibb Company,117.39B,tXmne0RQQbPLw20j
VRTX,Vertex Pharmaceuticals Incorporated,116.20B,tXmne0RQQbPRccst
CB,Chubb Limited,114.01B,tXmoG2G4bMPTU5mP
UPS,"United Parcel Service, Inc.",112.72B,tXmne0RQQbUq24w0
SBUX,Starbucks Corporation,111.38B,tXmne0RQQbPRbnfd
DE,Deere & Company,110.80B,tXmne0RQQbPLvFGW
GILD,"Gilead Sciences, Inc.",110.34B,tXmne0RQQbPOVX21
NKE,"NIKE, Inc.",109.20B,tXmne0RQQbPMFrAy
BA,The Boeing Company,109.15B,tXmne0RQQbPLvo6Q
MU,"Micron Technology, Inc.",109.07B,tXmne0RQQbPLvF9S
MMC,"Marsh & McLennan Companies, Inc.",109.01B,tXmne0RQQbPMETPe
PLD,"Prologis, Inc.",107.89B,tXmne0RQQbPLvW8J
MDT,Medtronic plc,107.87B,tXmoG22p8pBYsD5a
ADI,"Analog Devices, Inc.",104.77B,tXmne0RQQbPLwen9
INTC,Intel Corporation,103.56B,tXmne0RQQbPOWMNg
SO,The Southern Company,96.39B,tXmne0RQQbPLvWWr
MO,"Altria Group, Inc.",94.88B,tXmne0RQQbPLvWJ1
GEV,GE Vernova Inc.,94.49B,tXmoG3nL7wWKESH0
DELL,Dell Technologies Inc.,94.04B,tXmoG22mf0HyI2kG
AMT,American Tower Corporation,93.87B,tXmne0RQQbPLwej6
SHW,The Sherwin-Williams Company,93.28B,tXmne0RQQbPMGgFA
TT,Trane Technologies plc,92.52B,tXmoG2G4btVQvlJ3
ELV,"Elevance Health, Inc.",92.18B,tXmne0RQQbPJgxtE
LRCX,Lam Research Corporation,90.13B,tXmne0RQQbPOW32H
CI,The Cigna Group,89.95B,tXmoG3c4cHYoE3oa
ICE,"Intercontinental Exchange, Inc.",89.44B,tXmoG2XcAoSyEGeX
PH,Parker-Hannifin Corporation,88.87B,tXmne0RQQbPLvWJ0
EQIX,"Equinix, Inc.",88.67B,tXmne0RQQbPH7jSn
CTAS,Cintas Corporation,88.22B,tXmne0RQQbPNOFsn
DUK,Duke Energy Corporation,87.86B,tXmne0RQQbPLxBDm
WM,"Waste Management, Inc.",87.81B,tXmne0RQQbPNM0TB
MDLZ,"Mondelez International, Inc.",86.14B,tXmne0RQPS9T2aDR
MCO,Moody's Corporation,86.01B,tXms64W1bZ1kNOJs
CRWD,"CrowdStrike Holdings, Inc.",85.83B,tXmoG2XbfYD244r0
WELL,Welltower Inc.,85.56B,tXmne0RQQbPMD4xO
APH,Amphenol Corporation,85.47B,tXmne0RQQbPLwd7J
PYPL,"PayPal Holdings, Inc.",84.96B,tXmoG22sJPKCdB9y
ABNB,"Airbnb, Inc.",84.50B,tXmoG2G5sMvX9baL
HCA,"HCA Healthcare, Inc.",84.35B,tXmoG2G5r9zAGDJd
CDNS,"Cadence Design Systems, Inc.",83.38B,tXmne0RQQbPLw28x
SNPS,"Synopsys, Inc.",83.19B,tXmne0RQQbPRbnH7
KLAC,KLA Corporation,82.51B,tXmne0RQQbPOW3DY
MSI,"Motorola Solutions, Inc.",82.32B,tXmne0RQQbPMFaN4
AON,Aon plc,82.20B,tXmoG3ioeeyiDcJF
CME,CME Group Inc.,82.16B,tXmne0RQPS9T1S3R
PNC,"The PNC Financial Services Group, Inc.",80.92B,tXmne0RQQbPMFrVi
CMG,"Chipotle Mexican Grill, Inc.",80.29B,tXmne0RQQbPH6ucg
REGN,"Regeneron Pharmaceuticals, Inc.",79.98B,tXmne0RQQbPP4UoM
ZTS,Zoetis Inc.,79.26B,tXmoG2XbhxAktVNc
USB,U.S. Bancorp,79.16B,tXms64W1bZ1kNxWV
MCK,McKesson Corporation,78.85B,tXmne0RQQbUq2wTQ
ITW,Illinois Tool Works Inc.,78.66B,tXmne0RQQbPMElko
MAR,"Marriott International, Inc.",77.86B,tXmne0RQQbPMETTi
GD,General Dynamics Corporation,76.88B,tXmne0RQQbPLvFTm
CL,Colgate-Palmolive Company,76.73B,tXmne0RQQbPLvFK3
EOG,"EOG Resources, Inc.",76.62B,tXmne0RQQbUq2wqR
EMR,Emerson Electric Co.,73.94B,tXmne0RQQbPLxSdo
CEG,Constellation Energy Corporation,73.63B,tXmoG3nFFgslSZAm
APD,"Air Products and Chemicals, Inc.",72.89B,tXmne0RQQbPLvXk8
TDG,TransDigm Group Incorporated,72.71B,tXmne0RQQbUsaEq8
NOC,Northrop Grumman Corporation,71.68B,tXmoG2W8G3v5U0re
WMB,"The Williams Companies, Inc.",71.56B,tXmne0RQQbPNM051
CVS,CVS Health Corporation,71.52B,tXmne0RQQbPLw24p
FTNT,"Fortinet, Inc.",70.86B,tXmne0RQQb3RMtuU
FDX,FedEx Corporation,70.37B,tXmne0RQQbUq2wu2
MMM,3M Company,69.62B,tXmoG2G39BRqvRbu
COF,Capital One Financial Corporation,68.94B,tXmne0RQQbPLw3gI
ORLY,"O'Reilly Automotive, Inc.",68.63B,tXmne0RQQbPP35wa
ECL,Ecolab Inc.,68.46B,tXmne0RQQbPLxR9m
SPG,"Simon Property Group, Inc.",67.93B,tXmne0RQQbPMGgJI
CARR,Carrier Global Corporation,66.84B,tXmoG3iocl6vRCIo
CSX,CSX Corporation,66.67B,tXmne0RQQbPLw3kT
RSG,"Republic Services, Inc.",66.58B,tXmne0RQQbPMFZCC
ADSK,"Autodesk, Inc.",66.20B,tXmne0RQQbPNNQe6
OKE,"ONEOK, Inc.",66.11B,tXmne0RQQbPMFrQ4
AJG,Arthur J. Gallagher & Co.,64.93B,tXmne0RQQbPMDNqF
BDX,"Becton, Dickinson and Company",64.28B,tXmne0RQQbPLwL5r
RCL,Royal Caribbean Cruises Ltd.,63.42B,tXmne0RQQbPH8GZj
DLR,"Digital Realty Trust, Inc.",62.86B,tXmne0RQQbPSjMae
FCX,Freeport-McMoRan Inc.,62.79B,tXmne0RQQbPRcK1s
KMI,"Kinder Morgan, Inc.",62.21B,tXmne0RUGp4He5xp
CHTR,"Charter Communications, Inc.",61.99B,tXmne0RTnRK9KXC7
SLB,Schlumberger Limited,61.47B,tXmne0RQQbPMFZ5w
TFC,Truist Financial Corporation,61.30B,tXmne0RQQbPLwLS5
AFL,Aflac Incorporated,61.24B,tXmne0RQQbPLvW8H
HLT,Hilton Worldwide Holdings Inc.,60.98B,tXmoG22mgjPycP1R
GM,General Motors Company,60.33B,tXmne0RUGJhwuoIK
SRE,Sempra,58.98B,tXmne0RQPS45qqj6
ROP,"Roper Technologies, Inc.",58.92B,tXmne0RQQbPMFZOU
NSC,Norfolk Southern Corporation,58.58B,tXmne0RQQbPMFrwz
PSA,Public Storage,58.45B,tXmne0RQQbPMFIYl
TRV,"The Travelers Companies, Inc.",58.39B,tXmne0RQQbPMFZ1n
PCAR,PACCAR Inc,57.67B,tXmne0RQQbPP4l6n
GWW,"W.W. Grainger, Inc.",57.39B,tXmne0RQQbPMDNHh
MET,"MetLife, Inc.",57.19B,tXmne0RQQbUq2wXY
BK,The Bank of New York Mellon Corporation,56.62B,tXmoG2G39BkAIKiK
FICO,Fair Isaac Corporation,56.23B,tXmne0RQQbPLxStU
TGT,Target Corporation,56.07B,tXmne0RQQbUq2NWM
NXPI,NXP Semiconductors N.V.,56.00B,tXmne0RUGp9o3ycq
JCI,Johnson Controls International plc,54.95B,tXmoG22p8psFFswD
AMP,"Ameriprise Financial, Inc.",54.46B,tXmne0RQPS9T2IFM
PSX,Phillips 66,54.29B,tXmoG2XbfYzqYvgG
URI,"United Rentals, Inc.",53.85B,tXmne0RQQbPNMtcn
CPRT,"Copart, Inc.",53.39B,tXmne0RQQbPOUAtg
FANG,"Diamondback Energy, Inc.",52.98B,tXmoG2XbgBc0mSi5
VST,Vistra Corp.,52.61B,tXmoG27IRnI0WXUr
DHI,"D.R. Horton, Inc.",52.39B,tXmne0RQQbPLxBqT
ALL,The Allstate Corporation,52.24B,tXmne0RQQbPLwdRa
MNST,Monster Beverage Corporation,52.22B,tXmoG22rqXCQYRJ9
AEP,"American Electric Power Company, Inc.",51.55B,tXmne0RQQbPLwdZn
AZO,"AutoZone, Inc.",51.55B,tXmne0RQQbPLwvq8
MPC,Marathon Petroleum Corporation,51.22B,tXmoG2G5sMvZgKKn
PAYX,"Paychex, Inc.",51.04B,tXmne0RQQbPP4miP
O,Realty Income Corporation,49.93B,tXmne0RQQbPLvoYC
CMI,Cummins Inc.,49.52B,tXmne0RQQbPLxBav
PWR,"Quanta Services, Inc.",49.06B,tXmne0RQQbPMFI2t
NEM,Newmont Corporation,48.73B,tXmne0RQQbPMFrwy
D,"Dominion Energy, Inc.",48.55B,tXmoG2G5sMvX8Uol
HWM,Howmet Aerospace Inc.,47.98B,tXmoG2G5t1NdJKWp
OXY,Occidental Petroleum Corporation,47.77B,tXmne0RQQbPMFrIT
COR,"Cencora, Inc.",47.67B,tXmne0RQQbPLwefU
FAST,Fastenal Company,46.87B,tXmne0RQQbPOVGA9
AIG,"American International Group, Inc.",46.57B,tXmne0RQQbPLwd3t
AXON,"Axon Enterprise, Inc.",46.50B,tXmne0RQPS9T2ary
LHX,"L3Harris Technologies, Inc.",46.35B,tXmoG2G39UGJUbAN
FIS,"Fidelity National Information Services, Inc.",46.24B,tXmne0RQPS9T2q9X
ROST,"Ross Stores, Inc.",46.22B,tXmne0RQQbPP5bbl
NDAQ,"Nasdaq, Inc.",46.03B,tXms64W1bZ1kNxOJ
ODFL,"Old Dominion Freight Line, Inc.",45.76B,tXmne0RQQbPP35jM
LEN,Lennar Corporation,45.63B,tXmne0RQQbPMETqm
MSCI,MSCI Inc.,45.61B,tXmne0RQQbPOVpCi
KVUE,Kenvue Inc.,45.59B,tXmoG3nIe7SZTd6v
KMB,Kimberly-Clark Corporation,45.48B,tXmne0RQQbPMECH7
CCI,Crown Castle Inc.,45.36B,tXmoG22p8IOPYcxC
HES,Hess Corporation,45.29B,tXmne0RQQbPLwd7F
PCG,PG&E Corporation,45.10B,tXmne0RQQbPMFrVh
PEG,Public Service Enterprise Group Incorporated,45.08B,tXmne0RQQbPMFI2o
AME,"AMETEK, Inc.",44.72B,tXmne0RQQbPLwej0
VLO,Valero Energy Corporation,44.70B,tXmne0RQQbPNMtkG
TRGP,Targa Resources Corp.,44.23B,tXmoG2G5rQARFErP
TEL,TE Connectivity plc,44.22B,tXmoG2XbitEOfc1c
PRU,"Prudential Financial, Inc.",44.18B,tXmne0RQQbPJg5aX
BKR,Baker Hughes Company,43.85B,tXmne0RQQbPLwLXd
EA,Electronic Arts Inc.,43.72B,tXmne0RQQbPJfYYQ
STZ,"Constellation Brands, Inc.",43.52B,tXmne0RQQbPRcKS8
KDP,Keurig Dr Pepper Inc.,43.46B,tXmne0RUFagwaj5F
DFS,Discover Financial Services,43.38B,tXmne0RQQbPKoVw4
F,Ford Motor Company,42.64B,tXmne0RQQbPLvo2K
KR,The Kroger Co.,41.68B,tXmne0RQQbPLvGdW
IR,Ingersoll Rand Inc.,41.55B,tXmoG22mfHbUhqSa
EW,Edwards Lifesciences Corporation,41.01B,tXmne0RQQbUpWkHA
DAL,"Delta Air Lines, Inc.",40.80B,tXmne0RQQbPLxBmN
GLW,Corning Incorporated,40.54B,tXmne0RQQbPLxkAm
CTVA,"Corteva, Inc.",40.39B,tXmoG3c73RYXR5cH
XEL,Xcel Energy Inc.,40.23B,tXmne0RQQbPMFrAF
VRSK,"Verisk Analytics, Inc.",40.13B,tXmne0RUFazh0aqI
IT,"Gartner, Inc.",39.96B,tXmne0RQQbPLvF5F
OTIS,Otis Worldwide Corporation,39.82B,tXmoG3daC50ZCKNG
CBRE,"CBRE Group, Inc.",39.64B,tXmne0RQPS9T03YR
GRMN,Garmin Ltd.,39.48B,tXmne0RQQbUscQCZ
EXC,Exelon Corporation,38.92B,tXmne0RQQbPLvWN8
GEHC,GE HealthCare Technologies Inc.,38.79B,tXmoG2G39BkAJzfr
CTSH,Cognizant Technology Solutions Corporation,38.46B,tXmne0RQQbPNOFAB
LULU,Lululemon Athletica Inc.,37.85B,tXmne0RQPSVH47bC
KHC,The Kraft Heinz Company,37.34B,tXmoG2XcAoNVoCR5
YUM,"Yum! Brands, Inc.",37.08B,tXmne0RQQbPNMsRL
